username;community;account_type;in_degree;out_degree
09e632b342;2;elite/political;1;0
d0c6c597ba;26;grassroot;0;1
292f2918d7;26;grassroot;1;0
29a0c3aebe;27;grassroot;0;1
290f5e382d;27;grassroot;1;0
a7b4c71d60;9;grassroot;0;1
15549288b7;9;grassroot;3;0
b98abd0963;28;grassroot;0;1
ce78969a3f;28;grassroot;4;0
c413db24fd;12;grassroot;0;1
958edbaff0;2;grassroot;0;4
85682b56cb;2;grassroot;1;0
c52d5d8c65;2;elite/political;110;0
e4e4e27ab2;10;grassroot;0;1
9472df37ba;24;grassroot;0;1
31a26fb0ed;24;elite/political;12;0
b4f390fda1;29;grassroot;0;1
3ab3490a17;29;grassroot;1;0
73a2985b7d;3;grassroot;0;1
9cfae5961d;3;grassroot;25;0
561de22f22;30;grassroot;0;3
04e9adca88;30;grassroot;1;0
9c5c5b964d;30;grassroot;1;0
ab52b80b83;30;grassroot;1;0
4409429de1;31;grassroot;0;1
fca295e5d2;31;grassroot;1;0
65d6b26dba;32;grassroot;0;1
f06ccedcad;32;grassroot;19;1
cc5b90c2c6;7;grassroot;0;3
67ab55a1a6;7;grassroot;8;0
6b053ac0dc;15;grassroot;0;2
9c8b7cf64e;33;grassroot;0;1
8099865a9f;33;grassroot;2;0
ce6bcbf653;34;grassroot;0;1
17a4435634;34;grassroot;1;0
a500ccdc78;35;grassroot;0;11
bd8c7a6c85;35;grassroot;15;11
424a5db86b;35;grassroot;15;0
73139c388f;35;grassroot;15;0
6ecc877338;35;grassroot;19;0
1e1881ed7a;35;grassroot;17;0
6c23df5c5c;35;grassroot;15;0
aeab53803a;35;grassroot;15;0
7c14116240;35;grassroot;14;10
8c2935c55c;35;grassroot;15;0
947c556472;35;grassroot;15;0
3bbf8fe7ac;35;grassroot;19;2
f21dd232a3;16;grassroot;9;0
07bd5f1b62;11;grassroot;18;0
57733ad1fe;36;grassroot;0;1
9258b5ba0a;36;grassroot;1;0
69ccf1d4f8;37;grassroot;0;5
88fd2c1bba;37;grassroot;1;0
a8c4daf4f6;37;grassroot;1;0
9e77739047;37;grassroot;1;0
63bfd49b2a;37;grassroot;1;0
9d89188ee2;37;grassroot;1;0
e893f7acc9;38;grassroot;0;1
4e992e665c;38;grassroot;1;1
8d6980aeff;38;grassroot;1;0
6c8bb660f5;39;grassroot;0;1
a657afae34;39;grassroot;4;0
54d6bb6a69;40;grassroot;0;1
2aaccff9bc;40;grassroot;1;0
f9181106c2;41;grassroot;0;1
0822024eed;41;grassroot;1;0
81d4630eb9;42;grassroot;0;1
202b2ae675;42;grassroot;10;1
05202179cf;42;grassroot;85;0
e068a84d03;43;grassroot;0;2
1586fdcf58;43;grassroot;8;0
d35ed31e6b;43;grassroot;1;2
5555f49fb4;43;grassroot;2;0
ade3b59c13;43;grassroot;1;0
