community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
643,3,3,0,0,39e5b55725,1
651,3,3,0,0,4af63b4c70,2
654,3,3,0,0,f5a60092fa,1
655,3,3,0,0,2441e90885,1
660,3,3,0,0,bc85bbdc7e,1
662,3,3,0,0,d58b0b7aff,1
665,3,3,0,0,42410e177a,2
672,3,3,0,0,69f9b9434c,1
673,3,3,0,0,7e8a0ea329,1
675,3,3,0,0,7292ebdccd,1
677,3,3,0,0,993b98adc6,2
679,3,3,0,0,d7828a3049,1
686,3,3,0,0,72cbf47a19,2
700,3,3,0,0,254fb6477f,1
707,3,3,0,0,094adcec59,1
708,3,2,0,1,1c5355c751,2
709,3,3,0,0,fbb1cb3165,2
714,3,3,0,0,0fa56a8704,1
718,3,3,0,0,6010967702,1
736,3,3,0,0,524c6f8ded,1
743,3,3,0,0,aad34a4e62,1
758,3,3,0,0,5658a5c3fe,1
762,3,3,0,0,624be1c4e3,1
763,3,3,0,0,fcfa782555,1
770,3,3,0,0,76715466c1,1
778,3,3,0,0,26664d8459,1
779,3,3,0,0,44a6a36b1b,1
781,3,3,0,0,7ca4e8bcc1,1
784,3,3,0,0,b493d1ce85,2
788,3,3,0,0,c57b41c57e,1
797,3,3,0,0,972a5af029,1
800,3,3,0,0,a38177345b,1
803,3,3,0,0,3ee3ebcbb9,2
807,3,3,0,0,69ea459ee9,1
814,3,3,0,0,29acba3de3,1
816,3,3,0,0,d97a11a28e,1
822,3,3,0,0,d2a6283d00,1
824,3,3,0,0,b7238839fb,1
829,3,3,0,0,1af109b0a0,2
830,3,3,0,0,ccbb895dbd,1
833,3,3,0,0,8361d07238,2
834,3,3,0,0,995cb48c55,2
835,3,3,0,0,0bb5c9d588,1
838,3,3,0,0,96f2380575,1
839,3,3,0,0,13aa2f76a1,1
847,3,2,0,1,af2d2b0457,1
853,3,3,0,0,61f57d727c,1
858,3,3,0,0,f5d0021d57,1
861,3,3,0,0,f011eec67b,1
871,3,3,0,0,3292bf2f5d,1
875,3,3,0,0,d8e62baca8,1
881,3,3,0,0,4a9675e355,1
883,3,3,0,0,20be2de5cf,1
890,3,3,0,0,79ec9e8864,1
897,3,3,0,0,901ae2a380,1
902,3,3,0,0,3570b856c8,1
904,3,3,0,0,a21f8899eb,2
908,3,3,0,0,04e17d147a,1
920,3,3,0,0,6521ac130f,2
923,3,3,0,0,6988a09e85,2
924,3,3,0,0,fdd69fd201,1
928,3,3,0,0,3234494257,1
934,3,3,0,0,d3860ff986,1
938,3,3,0,0,848f2a961d,1
942,3,3,0,0,d3eb96f0dc,1
944,3,3,0,0,4c61d583e0,1
